word,occurence,documents,samples
today,11,['text_files/doc1.txt'],"[""let me begin by saying thanks to all you who've traveled from far and wide to brave the cold today""]"
generation,11,['text_files/doc1.txt'],"[""each and every time a new generation has risen up and done what's needed to be done today we are called once more and it is time for our generation to answer that call""]"
america,9,['text_files/doc1.txt'],"[""that's the journey we're on today but let me tell you how i came to be here as most of you know i am not a native of this great state i moved to illinois over two decades ago i was a young man then just a year out of college i knew no one in chicago was without money or family connections but a group of churches had offered me a job as a community organizer for 13000 a year and i accepted the job sight unseen motivated then by a single simple powerful idea that i might play a small part in building a better america""]"
government,5,['text_files/doc1.txt'],"[""my work took me to some of chicago's poorest neighborhoods i joined with pastors and lay-people to deal with communities that had been ravaged by plant closings i saw that the problems people faced weren't simply local in nature that the decision to close a steel mill was made by distant executives that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away and that when a child turns to violence there's a hole in his heart no government could ever fill""]"
health,5,['text_files/doc1.txt'],"[""that's why we were able to reform a death penalty system that was broken that's why we were able to give health insurance to children in need that's why we made the tax system more fair and just for working families and that's why we passed ethics reforms that the cynics said could never ever be passed""]"
future,5,['text_files/doc1.txt'],"[""all of us know what those challenges are today a war with no end a dependence on oil that threatens our future schools where too many children aren't learning and families struggling paycheck to paycheck despite working as hard as they can we know the challenges we've heard them we've talked about them for years""]"
politics,4,['text_files/doc1.txt'],"[""we all made this journey for a reason it's humbling but in my heart i know you didn't come here just for me you came here because you believe in what this country can be in the face of war you believe there can be peace in the face of despair you believe there can be hope in the face of a politics that's shut you out that's told you to settle that's divided us for too long you believe we can be one people reaching for what's possible building that more perfect union""]"
divided,4,['text_files/doc1.txt'],"[""we all made this journey for a reason it's humbling but in my heart i know you didn't come here just for me you came here because you believe in what this country can be in the face of war you believe there can be peace in the face of despair you believe there can be hope in the face of a politics that's shut you out that's told you to settle that's divided us for too long you believe we can be one people reaching for what's possible building that more perfect union""]"
building,4,['text_files/doc1.txt'],"[""we all made this journey for a reason it's humbling but in my heart i know you didn't come here just for me you came here because you believe in what this country can be in the face of war you believe there can be peace in the face of despair you believe there can be hope in the face of a politics that's shut you out that's told you to settle that's divided us for too long you believe we can be one people reaching for what's possible building that more perfect union""]"
schools,4,['text_files/doc1.txt'],"[""my work took me to some of chicago's poorest neighborhoods i joined with pastors and lay-people to deal with communities that had been ravaged by plant closings i saw that the problems people faced weren't simply local in nature that the decision to close a steel mill was made by distant executives that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away and that when a child turns to violence there's a hole in his heart no government could ever fill""]"
years,4,['text_files/doc1.txt'],['after three years of this work i went to law school because i wanted to understand how the law should work for those in need i became a civil rights lawyer and taught constitutional law and after a time i came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate it was with these ideas in mind that i arrived in this capital city as a state senator']
understand,4,['text_files/doc1.txt'],['after three years of this work i went to law school because i wanted to understand how the law should work for those in need i became a civil rights lawyer and taught constitutional law and after a time i came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate it was with these ideas in mind that i arrived in this capital city as a state senator']
lincoln,4,['text_files/doc1.txt'],['and that is why in the shadow of the old state capitol where lincoln once called on a divided house to stand together where common hopes and common dreams still i stand before you today to announce my candidacy for president of the united states']
millions,4,['text_files/doc1.txt'],"[""the genius of our founders is that they designed a system of government that can be changed and we should take heart because we've changed this country before in the face of tyranny a band of patriots brought an empire to its knees in the face of secession we unified a nation and set the captives free in the face of depression we put people back to work and lifted millions out of poverty we welcomed immigrants to our shores we opened railroads to the west we landed a man on the moon and we heard a king's call to let justice roll down like water and righteousness like a mighty stream""]"
